t Fq Fqsim h hest
0.100000 1.000000 1.000000 0.000000 0.000000 
0.200000 1.000000 1.000000 0.000000 0.000000 
0.300000 1.000000 1.000000 0.000000 0.000001 
0.400000 1.000000 1.000000 0.000001 0.000003 
0.500000 1.000000 0.999999 0.000001 0.000006 
0.600000 1.000000 0.999999 0.000003 0.000011 
0.700000 0.999999 0.999997 0.000005 0.000019 
0.800000 0.999999 0.999995 0.000008 0.000030 
0.900000 0.999998 0.999991 0.000013 0.000045 
1.000000 0.999996 0.999985 0.000020 0.000065 
1.100000 0.999994 0.999978 0.000029 0.000090 
1.200000 0.999990 0.999967 0.000042 0.000122 
1.300000 0.999985 0.999953 0.000057 0.000160 
1.400000 0.999978 0.999935 0.000077 0.000207 
1.500000 0.999969 0.999912 0.000102 0.000263 
1.600000 0.999958 0.999882 0.000132 0.000328 
1.700000 0.999943 0.999846 0.000168 0.000405 
1.800000 0.999924 0.999801 0.000211 0.000493 
1.900000 0.999900 0.999747 0.000262 0.000594 
2.000000 0.999871 0.999682 0.000322 0.000709 
2.100000 0.999836 0.999604 0.000391 0.000839 
2.200000 0.999793 0.999513 0.000471 0.000986 
2.300000 0.999741 0.999407 0.000562 0.001149 
2.400000 0.999680 0.999283 0.000667 0.001331 
2.500000 0.999608 0.999140 0.000785 0.001532 
2.600000 0.999523 0.998976 0.000918 0.001755 
2.700000 0.999424 0.998789 0.001068 0.001999 
2.800000 0.999309 0.998576 0.001235 0.002266 
2.900000 0.999176 0.998335 0.001421 0.002558 
3.000000 0.999024 0.998064 0.001628 0.002876 
3.100000 0.998850 0.997760 0.001856 0.003221 
3.200000 0.998652 0.997421 0.002107 0.003594 
3.300000 0.998428 0.997042 0.002383 0.003997 
3.400000 0.998176 0.996623 0.002685 0.004431 
3.500000 0.997891 0.996158 0.003015 0.004897 
3.600000 0.997573 0.995646 0.003375 0.005398 
3.700000 0.997217 0.995082 0.003766 0.005933 
3.800000 0.996821 0.994464 0.004190 0.006506 
3.900000 0.996381 0.993787 0.004649 0.007116 
4.000000 0.995893 0.993048 0.005144 0.007766 
4.100000 0.995355 0.992243 0.005678 0.008458 
4.200000 0.994762 0.991368 0.006253 0.009191 
4.300000 0.994109 0.990419 0.006870 0.009969 
4.400000 0.993394 0.989392 0.007531 0.010793 
4.500000 0.992612 0.988282 0.008240 0.011664 
4.600000 0.991757 0.987085 0.008997 0.012584 
4.700000 0.990825 0.985796 0.009805 0.013554 
4.800000 0.989812 0.984411 0.010667 0.014576 
4.900000 0.988712 0.982925 0.011584 0.015652 
5.000000 0.987520 0.981333 0.012559 0.016782 
5.100000 0.986230 0.979630 0.013594 0.017970 
5.200000 0.984837 0.977810 0.014692 0.019216 
5.300000 0.983334 0.975870 0.015855 0.020523 
5.400000 0.981716 0.973803 0.017086 0.021891 
5.500000 0.979977 0.971604 0.018387 0.023323 
5.600000 0.978110 0.969269 0.019761 0.024821 
5.700000 0.976109 0.966791 0.021211 0.026385 
5.800000 0.973967 0.964165 0.022739 0.028018 
5.900000 0.971678 0.961387 0.024348 0.029722 
6.000000 0.969233 0.958449 0.026042 0.031498 
6.100000 0.966627 0.955347 0.027822 0.033348 
6.200000 0.963852 0.952075 0.029691 0.035274 
6.300000 0.960901 0.948629 0.031654 0.037277 
6.400000 0.957766 0.945001 0.033712 0.039361 
6.500000 0.954441 0.941188 0.035869 0.041525 
6.600000 0.950917 0.937183 0.038128 0.043773 
