t Fq h
0.100000 0.995012 0.050000 
0.114915 0.994271 0.050000 
0.129830 0.993530 0.050000 
0.144745 0.992789 0.050000 
0.159660 0.992049 0.050000 
0.174575 0.991309 0.050000 
0.189489 0.990570 0.050000 
0.204404 0.989832 0.050000 
0.219319 0.989094 0.050000 
0.234234 0.988357 0.050000 
0.249149 0.987620 0.050000 
0.264064 0.986884 0.050000 
0.278979 0.986148 0.050000 
0.293894 0.985413 0.050000 
0.308809 0.984678 0.050000 
0.323724 0.983944 0.050000 
0.338639 0.983211 0.050000 
0.353554 0.982478 0.050000 
0.368468 0.981745 0.050000 
0.383383 0.981013 0.050000 
0.398298 0.980282 0.050000 
0.413213 0.979551 0.050000 
0.428128 0.978821 0.050000 
0.443043 0.978091 0.050000 
0.457958 0.977362 0.050000 
0.472873 0.976634 0.050000 
0.487788 0.975906 0.050000 
0.502703 0.975178 0.050000 
0.517618 0.974451 0.050000 
0.532533 0.973725 0.050000 
0.547447 0.972999 0.050000 
0.562362 0.972274 0.050000 
0.577277 0.971549 0.050000 
0.592192 0.970824 0.050000 
0.607107 0.970101 0.050000 
0.622022 0.969378 0.050000 
0.636937 0.968655 0.050000 
0.651852 0.967933 0.050000 
0.666767 0.967211 0.050000 
0.681682 0.966490 0.050000 
0.696597 0.965770 0.050000 
0.711512 0.965050 0.050000 
0.726426 0.964330 0.050000 
0.741341 0.963612 0.050000 
0.756256 0.962893 0.050000 
0.771171 0.962175 0.050000 
0.786086 0.961458 0.050000 
0.801001 0.960741 0.050000 
0.815916 0.960025 0.050000 
0.830831 0.959309 0.050000 
0.845746 0.958594 0.050000 
0.860661 0.957880 0.050000 
0.875576 0.957166 0.050000 
0.890490 0.956452 0.050000 
0.905405 0.955739 0.050000 
0.920320 0.955027 0.050000 
0.935235 0.954315 0.050000 
0.950150 0.953603 0.050000 
0.965065 0.952892 0.050000 
0.979980 0.952182 0.050000 
0.994895 0.951472 0.050000 
1.009810 0.950763 0.050000 
1.024725 0.950054 0.050000 
1.039640 0.949346 0.050000 
1.054555 0.948638 0.050000 
1.069469 0.947931 0.050000 
1.084384 0.947224 0.050000 
1.099299 0.946518 0.050000 
1.114214 0.945813 0.050000 
1.129129 0.945108 0.050000 
1.144044 0.944403 0.050000 
1.158959 0.943699 0.050000 
1.173874 0.942996 0.050000 
1.188789 0.942293 0.050000 
1.203704 0.941590 0.050000 
1.218619 0.940888 0.050000 
1.233534 0.940187 0.050000 
1.248448 0.939486 0.050000 
1.263363 0.938786 0.050000 
1.278278 0.938086 0.050000 
1.293193 0.937386 0.050000 
1.308108 0.936688 0.050000 
1.323023 0.935989 0.050000 
1.337938 0.935292 0.050000 
1.352853 0.934594 0.050000 
1.367768 0.933898 0.050000 
1.382683 0.933201 0.050000 
1.397598 0.932506 0.050000 
1.412513 0.931811 0.050000 
1.427427 0.931116 0.050000 
1.442342 0.930422 0.050000 
1.457257 0.929728 0.050000 
1.472172 0.929035 0.050000 
1.487087 0.928343 0.050000 
1.502002 0.927651 0.050000 
1.516917 0.926959 0.050000 
1.531832 0.926268 0.050000 
1.546747 0.925578 0.050000 
1.561662 0.924888 0.050000 
1.576577 0.924198 0.050000 
1.591491 0.923509 0.050000 
1.606406 0.922821 0.050000 
1.621321 0.922133 0.050000 
1.636236 0.921445 0.050000 
1.651151 0.920758 0.050000 
1.666066 0.920072 0.050000 
1.680981 0.919386 0.050000 
1.695896 0.918701 0.050000 
1.710811 0.918016 0.050000 
1.725726 0.917332 0.050000 
1.740641 0.916648 0.050000 
1.755556 0.915964 0.050000 
1.770470 0.915282 0.050000 
1.785385 0.914599 0.050000 
1.800300 0.913917 0.050000 
1.815215 0.913236 0.050000 
1.830130 0.912555 0.050000 
1.845045 0.911875 0.050000 
1.859960 0.911195 0.050000 
1.874875 0.910516 0.050000 
1.889790 0.909837 0.050000 
1.904705 0.909159 0.050000 
1.919620 0.908481 0.050000 
1.934535 0.907804 0.050000 
1.949449 0.907127 0.050000 
1.964364 0.906451 0.050000 
1.979279 0.905775 0.050000 
1.994194 0.905100 0.050000 
2.009109 0.904425 0.050000 
2.024024 0.903751 0.050000 
2.038939 0.903077 0.050000 
2.053854 0.902404 0.050000 
2.068769 0.901732 0.050000 
2.083684 0.901059 0.050000 
2.098599 0.900388 0.050000 
2.113514 0.899716 0.050000 
2.128428 0.899046 0.050000 
2.143343 0.898375 0.050000 
2.158258 0.897706 0.050000 
2.173173 0.897037 0.050000 
2.188088 0.896368 0.050000 
2.203003 0.895700 0.050000 
2.217918 0.895032 0.050000 
2.232833 0.894365 0.050000 
2.247748 0.893698 0.050000 
