t Fq Fqsim h hest
0.100000 0.998002 0.998203 0.020000 0.017990 
0.200000 0.996008 0.996409 0.020000 0.017990 
0.300000 0.994018 0.994618 0.020000 0.017990 
0.400000 0.992032 0.992830 0.020000 0.017990 
0.500000 0.990050 0.991045 0.020000 0.017990 
0.600000 0.988072 0.989264 0.020000 0.017990 
0.700000 0.986098 0.987486 0.020000 0.017990 
0.800000 0.984127 0.985711 0.020000 0.017990 
0.900000 0.982161 0.983940 0.020000 0.017990 
1.000000 0.980199 0.982171 0.020000 0.017990 
1.100000 0.978240 0.980406 0.020000 0.017990 
1.200000 0.976286 0.978644 0.020000 0.017990 
1.300000 0.974335 0.976885 0.020000 0.017990 
1.400000 0.972388 0.975129 0.020000 0.017990 
1.500000 0.970446 0.973376 0.020000 0.017990 
1.600000 0.968507 0.971627 0.020000 0.017990 
1.700000 0.966572 0.969880 0.020000 0.017990 
1.800000 0.964640 0.968137 0.020000 0.017990 
1.900000 0.962713 0.966397 0.020000 0.017990 
2.000000 0.960789 0.964660 0.020000 0.017990 
2.100000 0.958870 0.962926 0.020000 0.017990 
2.200000 0.956954 0.961196 0.020000 0.017990 
2.300000 0.955042 0.959468 0.020000 0.017990 
2.400000 0.953134 0.957744 0.020000 0.017990 
2.500000 0.951229 0.956022 0.020000 0.017990 
2.600000 0.949329 0.954304 0.020000 0.017990 
2.700000 0.947432 0.952589 0.020000 0.017990 
2.800000 0.945539 0.950877 0.020000 0.017990 
2.900000 0.943650 0.949167 0.020000 0.017990 
3.000000 0.941765 0.947461 0.020000 0.017990 
3.100000 0.939883 0.945759 0.020000 0.017990 
3.200000 0.938005 0.944059 0.020000 0.017990 
3.300000 0.936131 0.942362 0.020000 0.017990 
3.400000 0.934260 0.940668 0.020000 0.017990 
3.500000 0.932394 0.938977 0.020000 0.017990 
3.600000 0.930531 0.937290 0.020000 0.017990 
3.700000 0.928672 0.935605 0.020000 0.017990 
3.800000 0.926816 0.933924 0.020000 0.017990 
3.900000 0.924964 0.932245 0.020000 0.017990 
4.000000 0.923116 0.930569 0.020000 0.017990 
4.100000 0.921272 0.928897 0.020000 0.017990 
4.200000 0.919431 0.927227 0.020000 0.017990 
