t y u
0.000000 0.000000 1.000000 
0.505051 0.024165 1.000000 
1.010101 0.090931 1.000000 
1.515152 0.191161 1.000000 
2.020202 0.315426 1.000000 
2.525253 0.454489 1.000000 
3.030303 0.599715 1.000000 
3.535354 0.743391 1.000000 
4.040404 0.878963 1.000000 
4.545455 1.001179 1.000000 
5.050505 1.106157 1.000000 
5.555556 1.191372 1.000000 
6.060606 1.255585 1.000000 
6.565657 1.298722 1.000000 
7.070707 1.321713 1.000000 
7.575758 1.326307 1.000000 
8.080808 1.314874 1.000000 
8.585859 1.290206 1.000000 
9.090909 1.255327 1.000000 
9.595960 1.213315 1.000000 
10.101010 1.167156 1.000000 
10.606061 1.119606 1.000000 
11.111111 1.073104 1.000000 
11.616162 1.029694 1.000000 
12.121212 0.990988 1.000000 
12.626263 0.958148 1.000000 
13.131313 0.931898 1.000000 
13.636364 0.912549 1.000000 
14.141414 0.900043 1.000000 
14.646465 0.894006 1.000000 
15.151515 0.893815 1.000000 
15.656566 0.898656 1.000000 
16.161616 0.907593 1.000000 
16.666667 0.919630 1.000000 
17.171717 0.933762 1.000000 
17.676768 0.949031 1.000000 
18.181818 0.964555 1.000000 
18.686869 0.979567 1.000000 
19.191919 0.993432 1.000000 
19.696970 1.005657 1.000000 
20.202020 1.015896 1.000000 
20.707071 1.023947 1.000000 
21.212121 1.029737 1.000000 
21.717172 1.033311 1.000000 
22.222222 1.034813 1.000000 
22.727273 1.034462 1.000000 
23.232323 1.032536 1.000000 
23.737374 1.029348 1.000000 
24.242424 1.025224 1.000000 
24.747475 1.020491 1.000000 
25.252525 1.015457 1.000000 
25.757576 1.010403 1.000000 
26.262626 1.005569 1.000000 
26.767677 1.001152 1.000000 
27.272727 0.997302 1.000000 
27.777778 0.994120 1.000000 
28.282828 0.991663 1.000000 
28.787879 0.989944 1.000000 
29.292929 0.988941 1.000000 
29.797980 0.988600 1.000000 
30.303030 0.988845 1.000000 
30.808081 0.989581 1.000000 
31.313131 0.990704 1.000000 
31.818182 0.992108 1.000000 
32.323232 0.993687 1.000000 
32.828283 0.995341 1.000000 
33.333333 0.996982 1.000000 
33.838384 0.998535 1.000000 
34.343434 0.999938 1.000000 
34.848485 1.001147 1.000000 
35.353535 1.002132 1.000000 
35.858586 1.002878 1.000000 
36.363636 1.003384 1.000000 
36.868687 1.003659 1.000000 
37.373737 1.003722 1.000000 
37.878788 1.003602 1.000000 
38.383838 1.003328 1.000000 
38.888889 1.002936 1.000000 
39.393939 1.002461 1.000000 
39.898990 1.001937 1.000000 
40.404040 1.001395 1.000000 
40.909091 1.000863 1.000000 
41.414141 1.000366 1.000000 
41.919192 0.999921 1.000000 
42.424242 0.999542 1.000000 
42.929293 0.999239 1.000000 
43.434343 0.999014 1.000000 
43.939394 0.998867 1.000000 
44.444444 0.998794 1.000000 
44.949495 0.998788 1.000000 
45.454545 0.998840 1.000000 
45.959596 0.998940 1.000000 
46.464646 0.999075 1.000000 
46.969697 0.999235 1.000000 
47.474747 0.999409 1.000000 
47.979798 0.999586 1.000000 
48.484848 0.999757 1.000000 
48.989899 0.999916 1.000000 
49.494949 1.000057 1.000000 
50.000000 1.000175 1.000000 
