t Fq f h
0.100000 0.953488 0.248844 0.260983 
0.113914 0.950426 0.238019 0.250434 
0.127828 0.947497 0.227685 0.240302 
0.141742 0.944694 0.217820 0.230572 
0.155656 0.942012 0.208401 0.221230 
0.169570 0.939445 0.199409 0.212263 
0.183483 0.936988 0.190825 0.203658 
0.197397 0.934636 0.182630 0.195402 
0.211311 0.932385 0.174806 0.187483 
0.225225 0.930229 0.167337 0.179888 
0.239139 0.928164 0.160207 0.172606 
0.253053 0.926187 0.153399 0.165624 
0.266967 0.924293 0.146900 0.158933 
0.280881 0.922479 0.140696 0.152519 
0.294795 0.920741 0.134773 0.146374 
0.308709 0.919075 0.129118 0.140487 
0.322623 0.917478 0.123719 0.134847 
0.336537 0.915947 0.118566 0.129446 
0.350450 0.914480 0.113645 0.124273 
0.364364 0.913072 0.108948 0.119320 
0.378278 0.911722 0.104464 0.114578 
0.392192 0.910427 0.100183 0.110039 
0.406106 0.909185 0.096095 0.105694 
0.420020 0.907992 0.092194 0.101536 
0.433934 0.906847 0.088468 0.097556 
0.447848 0.905748 0.084912 0.093748 
0.461762 0.904692 0.081517 0.090105 
0.475676 0.903678 0.078276 0.086619 
0.489590 0.902703 0.075182 0.083285 
0.503504 0.901766 0.072228 0.080096 
0.517417 0.900866 0.069407 0.077045 
0.531331 0.900000 0.066715 0.074128 
0.545245 0.899167 0.064145 0.071338 
0.559159 0.898365 0.061691 0.068670 
0.573073 0.897593 0.059348 0.066119 
0.586987 0.896850 0.057112 0.063680 
0.600901 0.896135 0.054976 0.061348 
0.614815 0.895445 0.052938 0.059119 
0.628729 0.894781 0.050992 0.056988 
0.642643 0.894140 0.049134 0.054952 
0.656557 0.893522 0.047361 0.053005 
0.670470 0.892926 0.045668 0.051144 
0.684384 0.892350 0.044051 0.049365 
0.698298 0.891794 0.042508 0.047666 
0.712212 0.891257 0.041035 0.046041 
0.726126 0.890738 0.039628 0.044489 
0.740040 0.890237 0.038285 0.043006 
0.753954 0.889751 0.037003 0.041588 
0.767868 0.889282 0.035780 0.040234 
0.781782 0.888827 0.034611 0.038940 
0.795696 0.888387 0.033496 0.037704 
0.809610 0.887960 0.032431 0.036523 
0.823524 0.887547 0.031414 0.035395 
0.837437 0.887145 0.030444 0.034317 
0.851351 0.886756 0.029517 0.033287 
0.865265 0.886378 0.028633 0.032303 
0.879179 0.886011 0.027788 0.031363 
0.893093 0.885654 0.026982 0.030466 
0.907007 0.885307 0.026213 0.029608 
0.920921 0.884970 0.025478 0.028789 
0.934835 0.884641 0.024776 0.028007 
0.948749 0.884321 0.024107 0.027260 
0.962663 0.884010 0.023467 0.026546 
0.976577 0.883706 0.022857 0.025865 
0.990490 0.883409 0.022274 0.025214 
1.004404 0.883120 0.021718 0.024592 
1.018318 0.882837 0.021187 0.023999 
1.032232 0.882561 0.020680 0.023432 
1.046146 0.882291 0.020196 0.022890 
1.060060 0.882028 0.019734 0.022373 
