t Fq Fqsim h hest
0.100000 1.000000 1.000000 0.000000 0.000000 
0.200000 1.000000 1.000000 0.000000 0.000000 
0.300000 1.000000 1.000000 0.000000 0.000000 
0.400000 1.000000 1.000000 0.000001 0.000000 
0.500000 1.000000 1.000000 0.000001 0.000001 
0.600000 1.000000 1.000000 0.000003 0.000002 
0.700000 0.999999 0.999999 0.000005 0.000005 
0.800000 0.999999 0.999999 0.000008 0.000008 
0.900000 0.999998 0.999998 0.000013 0.000013 
1.000000 0.999996 0.999996 0.000020 0.000020 
1.100000 0.999994 0.999994 0.000029 0.000030 
1.200000 0.999990 0.999990 0.000042 0.000044 
1.300000 0.999985 0.999985 0.000057 0.000061 
1.400000 0.999978 0.999977 0.000077 0.000083 
1.500000 0.999969 0.999968 0.000102 0.000111 
1.600000 0.999958 0.999955 0.000132 0.000145 
1.700000 0.999943 0.999939 0.000168 0.000186 
1.800000 0.999924 0.999918 0.000211 0.000236 
1.900000 0.999900 0.999891 0.000262 0.000296 
2.000000 0.999871 0.999858 0.000322 0.000366 
2.100000 0.999836 0.999818 0.000391 0.000448 
2.200000 0.999793 0.999768 0.000471 0.000544 
2.300000 0.999741 0.999708 0.000562 0.000655 
2.400000 0.999680 0.999637 0.000667 0.000782 
2.500000 0.999608 0.999551 0.000785 0.000926 
2.600000 0.999523 0.999451 0.000918 0.001091 
2.700000 0.999424 0.999333 0.001068 0.001276 
2.800000 0.999309 0.999195 0.001235 0.001485 
2.900000 0.999176 0.999035 0.001421 0.001718 
3.000000 0.999024 0.998851 0.001628 0.001978 
3.100000 0.998850 0.998639 0.001856 0.002268 
3.200000 0.998652 0.998397 0.002107 0.002588 
3.300000 0.998428 0.998121 0.002383 0.002942 
3.400000 0.998176 0.997808 0.002685 0.003331 
3.500000 0.997891 0.997455 0.003015 0.003758 
3.600000 0.997573 0.997057 0.003375 0.004225 
3.700000 0.997217 0.996611 0.003766 0.004735 
3.800000 0.996821 0.996112 0.004190 0.005291 
3.900000 0.996381 0.995555 0.004649 0.005895 
4.000000 0.995893 0.994937 0.005144 0.006550 
4.100000 0.995355 0.994250 0.005678 0.007259 
4.200000 0.994762 0.993491 0.006253 0.008025 
4.300000 0.994109 0.992654 0.006870 0.008850 
4.400000 0.993394 0.991732 0.007531 0.009739 
4.500000 0.992612 0.990720 0.008240 0.010694 
4.600000 0.991757 0.989611 0.008997 0.011718 
4.700000 0.990825 0.988398 0.009805 0.012815 
4.800000 0.989812 0.987075 0.010667 0.013988 
4.900000 0.988712 0.985634 0.011584 0.015242 
5.000000 0.987520 0.984068 0.012559 0.016579 
5.100000 0.986230 0.982369 0.013594 0.018003 
5.200000 0.984837 0.980528 0.014692 0.019518 
5.300000 0.983334 0.978539 0.015855 0.021128 
5.400000 0.981716 0.976391 0.017086 0.022837 
5.500000 0.979977 0.974076 0.018387 0.024649 
5.600000 0.978110 0.971586 0.019761 0.026568 
5.700000 0.976109 0.968910 0.021211 0.028599 
5.800000 0.973967 0.966040 0.022739 0.030746 
5.900000 0.971678 0.962967 0.024348 0.033013 
6.000000 0.969233 0.959679 0.026042 0.035404 
6.100000 0.966627 0.956168 0.027822 0.037925 
6.200000 0.963852 0.952423 0.029691 0.040581 
6.300000 0.960901 0.948435 0.031654 0.043375 
6.400000 0.957766 0.944192 0.033712 0.046312 
6.500000 0.954441 0.939686 0.035869 0.049399 
6.600000 0.950917 0.934905 0.038128 0.052639 
